"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C03_001E","S2406_C03_003M","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_002E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_006M","S2406_C06_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002M","S2406_C05_003E","S2406_C05_005M","S2406_C06_002M","S2406_C06_003E","S2406_C06_006E","S2406_C06_007E","S2406_C06_005M"
"id","Geographic Area Name","Total!!Estimate!!Civilian employed population 16 years and over","Total!!Margin of Error!!Civilian employed population 16 years and over","Total!!Estimate!!Management, business, science, and arts occupations","Total!!Margin of Error!!Management, business, science, and arts occupations","Total!!Estimate!!Service occupations","Total!!Margin of Error!!Service occupations","Total!!Estimate!!Sales and office occupations","Total!!Margin of Error!!Sales and office occupations","Total!!Estimate!!Natural resources, construction, and maintenance occupations","Total!!Margin of Error!!Natural resources, construction, and maintenance occupations","Total!!Estimate!!Production, transportation, and material moving occupations","Total!!Margin of Error!!Production, transportation, and material moving occupations","Total!!Estimate!!PERCENT IMPUTED!!Occupation","Total!!Margin of Error!!PERCENT IMPUTED!!Occupation","Employee of private company workers!!Estimate!!Civilian employed population 16 years and over","Employee of private company workers!!Margin of Error!!Civilian employed population 16 years and over","Employee of private company workers!!Estimate!!Management, business, science, and arts occupations","Employee of private company workers!!Margin of Error!!Management, business, science, and arts occupations","Employee of private company workers!!Estimate!!Service occupations","Employee of private company workers!!Margin of Error!!Service occupations","Employee of private company workers!!Estimate!!Sales and office occupations","Employee of private company workers!!Margin of Error!!Sales and office occupations","Employee of private company workers!!Estimate!!Natural resources, construction, and maintenance occupations","Employee of private company workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Employee of private company workers!!Estimate!!Production, transportation, and material moving occupations","Employee of private company workers!!Margin of Error!!Production, transportation, and material moving occupations","Employee of private company workers!!Estimate!!PERCENT IMPUTED!!Occupation","Employee of private company workers!!Margin of Error!!PERCENT IMPUTED!!Occupation","Self-employed in own incorporated business workers!!Margin of Error!!Civilian employed population 16 years and over","Self-employed in own incorporated business workers!!Estimate!!Management, business, science, and arts occupations","Self-employed in own incorporated business workers!!Margin of Error!!Management, business, science, and arts occupations","Self-employed in own incorporated business workers!!Estimate!!Service occupations","Self-employed in own incorporated business workers!!Estimate!!Sales and office occupations","Self-employed in own incorporated business workers!!Margin of Error!!Sales and office occupations","Self-employed in own incorporated business workers!!Estimate!!Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Self-employed in own incorporated business workers!!Estimate!!Production, transportation, and material moving occupations","Self-employed in own incorporated business workers!!Margin of Error!!Production, transportation, and material moving occupations","Self-employed in own incorporated business workers!!Estimate!!PERCENT IMPUTED!!Occupation","Self-employed in own incorporated business workers!!Margin of Error!!PERCENT IMPUTED!!Occupation","Private not-for-profit wage and salary workers!!Estimate!!Civilian employed population 16 years and over","Private not-for-profit wage and salary workers!!Margin of Error!!Civilian employed population 16 years and over","Private not-for-profit wage and salary workers!!Estimate!!Management, business, science, and arts occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Management, business, science, and arts occupations","Private not-for-profit wage and salary workers!!Estimate!!Service occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Service occupations","Private not-for-profit wage and salary workers!!Estimate!!Sales and office occupations","Self-employed in own incorporated business workers!!Estimate!!Civilian employed population 16 years and over","Self-employed in own incorporated business workers!!Margin of Error!!Service occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Sales and office occupations","Private not-for-profit wage and salary workers!!Estimate!!Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Private not-for-profit wage and salary workers!!Estimate!!Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers!!Margin of Error!!Production, transportation, and material moving occupations","Private not-for-profit wage and salary workers!!Estimate!!PERCENT IMPUTED!!Occupation","Private not-for-profit wage and salary workers!!Margin of Error!!PERCENT IMPUTED!!Occupation","Local, state, and federal government workers!!Estimate!!Management, business, science, and arts occupations","Local, state, and federal government workers!!Margin of Error!!Service occupations","Local, state, and federal government workers!!Estimate!!Sales and office occupations","Local, state, and federal government workers!!Margin of Error!!Sales and office occupations","Local, state, and federal government workers!!Estimate!!Natural resources, construction, and maintenance occupations","Local, state, and federal government workers!!Estimate!!Production, transportation, and material moving occupations","Local, state, and federal government workers!!Margin of Error!!Production, transportation, and material moving occupations","Local, state, and federal government workers!!Estimate!!PERCENT IMPUTED!!Occupation","Local, state, and federal government workers!!Margin of Error!!PERCENT IMPUTED!!Occupation","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Civilian employed population 16 years and over","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Civilian employed population 16 years and over","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Service occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Sales and office occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Sales and office occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!PERCENT IMPUTED!!Occupation","Local, state, and federal government workers!!Estimate!!Civilian employed population 16 years and over","Local, state, and federal government workers!!Margin of Error!!Civilian employed population 16 years and over","Local, state, and federal government workers!!Margin of Error!!Management, business, science, and arts occupations","Local, state, and federal government workers!!Estimate!!Service occupations","Local, state, and federal government workers!!Margin of Error!!Natural resources, construction, and maintenance occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Management, business, science, and arts occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Service occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!Production, transportation, and material moving occupations","Self-employed in own not incorporated business workers and unpaid family workers!!Estimate!!PERCENT IMPUTED!!Occupation","Self-employed in own not incorporated business workers and unpaid family workers!!Margin of Error!!Natural resources, construction, and maintenance occupations"
"0500000US26163","Wayne County, Michigan","696644","8596","218081","6244","141462","5441","171909","5827","48809","2931","116383","5074","12.3","(X)","73.0","0.8","59.9","1.6","71.0","1.9","78.8","1.3","76.0","2.9","90.1","1.4","(X)","(X)","0.3","4.2","0.7","1.7","2.3","0.5","5.8","1.5","1.2","0.4","(X)","(X)","9.2","0.5","15.5","1.1","9.2","1.3","7.4","2.8","0.6","0.9","3.2","1.2","2.9","0.9","(X)","(X)","16.5","1.3","8.9","0.9","5.1","3.6","0.9","(X)","(X)","4.1","0.4","3.9","1.0","2.6","0.5","10.0","0.6","(X)","10.8","0.5","1.3","12.2","1.3","0.6","5.9","2.2","(X)","2.5"
