GEO_ID,Total Civilian employed population ,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
0500000US17093,70161,33914,11725,12335,5671,6516
0500000US17097,351331,154774,51788,77364,22307,45098
0500000US17099,51878,14124,9970,9383,6098,12303
0500000US17111,167019,65848,23274,39109,16860,21928
0500000US17113,83090,37553,15445,18646,3279,8167
0500000US17115,44586,14714,7575,10285,3793,8219
0500000US17119,130143,51355,22775,26096,11994,17923
0500000US17143,81174,33650,15094,15908,6623,9899
0500000US17161,66636,20675,12701,14101,5751,13408
0500000US17163,123406,47544,23956,25689,9277,16940
0500000US17167,90112,41963,15287,17753,6879,8230
0500000US17179,61315,23663,11653,12678,5383,7938
0500000US17183,30492,8404,6506,5626,2460,7496
0500000US17197,353050,135565,56406,73772,31823,55484
0500000US17199,30809,11237,7133,6176,2826,3437
0500000US17201,133731,43457,24033,24818,10845,30578
