GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US48135,65412,15501,10103,18355,11795,9658
0500000US48139,72187,22388,9939,20291,8463,11106
0500000US48141,316920,98020,71290,76583,32016,39011
0500000US48157,293682,140715,35998,76145,21363,19461
0500000US48167,133262,53704,22572,27756,14401,14829
0500000US48181,53806,16856,8667,14519,6392,7372
0500000US48183,57024,16321,8084,16835,7188,8596
0500000US48187,65554,24836,11046,17287,5373,7012
0500000US48201,1940954,664376,331024,468127,221892,255535
0500000US48203,29605,10781,4361,6845,2928,4690
0500000US48209,79961,26593,15692,21952,7398,8326
0500000US48213,30690,7693,6674,7394,4150,4779
0500000US48215,287973,69336,69129,78492,38261,32755
0500000US48231,36164,12581,5772,8419,4213,5179
0500000US48245,102771,26268,21478,25602,14242,15181
0500000US48251,66148,19623,11023,15751,8523,11228
0500000US48257,47355,16495,6993,11905,5690,6272
0500000US48291,28003,4953,5016,6870,5162,6002
0500000US48303,141506,46373,29339,38078,13979,13737
0500000US48309,105349,33211,19322,25559,12861,14396
0500000US48329,69293,21200,10762,18524,9294,9513
0500000US48339,216203,77795,35904,54631,22646,25227
0500000US48347,26188,9825,4285,5332,3170,3576
0500000US48355,153975,45987,35058,37755,18309,16866
0500000US48361,33617,8008,6185,8207,6755,4462
0500000US48367,53759,19117,6588,13626,7906,6522
0500000US48375,52098,13892,11427,11432,6238,9109
0500000US48381,63320,24490,11089,17890,5223,4628
0500000US48397,38808,17149,4036,10251,3935,3437
0500000US48409,26194,8115,5331,5402,4209,3137
0500000US48423,91617,31793,16089,23526,8733,11476
0500000US48439,870110,314929,137161,227338,78109,112573
0500000US48441,56401,17468,12956,15040,4762,6175
0500000US48451,50000,17674,11456,10895,3912,6063
0500000US48453,552691,247921,95924,128694,47079,33073
0500000US48469,38569,11353,6960,11514,4838,3904
0500000US48471,24756,6681,7254,6483,798,3540
0500000US48479,96979,24997,25075,25563,10930,10414
0500000US48485,53547,16442,11121,12592,5545,7847
0500000US48491,212381,96269,33942,51174,15103,15893
0500000US49005,53249,19344,9233,13311,3805,7556
0500000US49011,140761,57616,18522,37842,9959,16822
0500000US49035,509256,183677,77572,139204,44190,64613
0500000US49049,223553,89484,34533,60276,15655,23605
0500000US49053,52457,16412,13017,14022,3480,5526
0500000US49057,104502,31480,19783,26103,10167,16969
0500000US50007,86767,39283,17159,19319,5565,5441
0500000US51003,44673,24292,7895,7015,3690,1781
0500000US51013,138965,94938,17041,19107,4113,3766
0500000US51015,35273,9414,6923,8147,4252,6537
0500000US51019,33043,11565,4040,8935,3867,4636
0500000US51041,158827,66032,23775,42081,12496,14443
0500000US51059,581976,325914,85320,114271,32798,23673
0500000US01003,85257,29348,14562,23648,10129,7570
