GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US06097,248279,94545,48521,55162,25766,24285
0500000US06099,210302,55651,37247,46820,33413,37171
0500000US06101,38933,13200,7349,8643,5138,4603
0500000US06107,175877,38457,31858,35552,45253,24757
0500000US06111,401648,149463,66856,97926,46963,40440
0500000US06113,93076,43321,18540,16240,5787,9188
0500000US06115,26017,6327,5745,6450,4441,3054
0500000US08001,239522,72359,45952,55629,32328,33254
0500000US08005,322377,133157,52186,81032,29148,26854
0500000US08013,168639,86758,27433,34396,9221,10831
0500000US08031,360419,158492,65626,77621,30083,28597
0500000US08035,165693,86477,19160,41531,9827,8698
0500000US08041,294015,118434,55136,69677,26580,24188
0500000US08059,303997,135286,48733,74081,23954,21943
0500000US08069,166820,67477,33469,39271,13094,13509
0500000US08077,69582,21508,11884,16604,10069,9517
0500000US08101,65373,21850,14434,15456,6749,6884
0500000US08123,137247,43241,23849,31053,18380,20724
0500000US09001,471048,209571,81217,113692,34809,31759
0500000US09003,444363,193666,71435,102931,28059,48272
0500000US09005,96746,38494,16601,21721,8713,11217
0500000US09007,90058,42880,13909,18732,7096,7441
0500000US09009,418153,173117,73008,95178,28957,47893
0500000US09011,136304,52722,31859,27113,12667,11943
0500000US09013,82062,33227,13800,18949,8258,7828
0500000US09015,60024,20560,12709,13318,5504,7933
0500000US10001,78047,25871,14662,18750,6748,12016
0500000US10003,269026,117217,44168,63607,18408,25626
0500000US10005,94071,28179,20732,22189,10035,12936
0500000US11001,345592,207506,53709,61143,9456,13778
0500000US12001,115183,53115,21748,28665,5002,6653
0500000US12005,75526,23859,15837,19209,9317,7304
0500000US12009,229441,90682,46395,54577,18233,19554
0500000US12011,916222,317887,183409,261378,77730,75818
0500000US12015,58030,17766,12934,15792,6922,4616
0500000US12017,42987,11982,9997,11203,3945,5860
0500000US12019,85088,27834,15786,21755,9466,10247
0500000US12021,144750,43998,35435,33611,21573,10133
0500000US12023,23717,8587,3927,6088,2545,2570
0500000US12031,410357,142384,84043,109930,30710,43290
0500000US12033,133900,43741,26268,38105,12705,13081
0500000US12035,37567,10244,7643,12821,3797,3062
0500000US12053,61189,17538,12093,19116,5613,6829
0500000US12055,31616,8676,10012,6526,3981,2421
0500000US12057,625025,231568,111611,168088,55777,57981
0500000US12061,55496,18000,10675,16100,6397,4324
0500000US12069,124376,38204,25881,34966,13648,11677
0500000US12071,278917,87371,64820,75007,28047,23672
0500000US12073,140350,60793,26276,38147,6889,8245
0500000US12081,146313,50305,30505,38601,14141,12761
0500000US12083,121979,31659,31625,34401,10151,14143
0500000US13285,29156,8190,4915,6668,2946,6437
0500000US13295,27149,7493,3239,7785,2719,5913
