GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US39101,28388,6808,4995,5568,3351,7666
0500000US39103,87569,32394,13447,21611,7184,12933
0500000US39109,46748,14903,7932,11592,4034,8287
0500000US39113,231879,78576,44004,61022,14941,33336
0500000US39119,36808,9599,6350,8855,4062,7942
0500000US39133,77333,23012,16461,18473,6109,13278
0500000US39139,51205,14957,9065,11281,3686,12216
0500000US39141,27736,8343,6276,5952,2539,4626
0500000US39145,27533,8562,5960,6558,2369,4084
0500000US39151,168075,50925,34001,42836,14572,25741
0500000US39153,249952,95287,43737,65393,16655,28880
0500000US39155,86807,24083,17846,20209,8024,16645
0500000US39157,40524,11925,7099,8863,3499,9138
0500000US39165,101692,42172,14440,27425,4084,13571
0500000US39169,53009,14735,8957,12454,5523,11340
0500000US39173,57825,21376,9082,14952,3811,8604
0500000US40017,56088,19990,9438,16745,4686,5229
0500000US40027,122363,45377,21800,32068,12262,10856
0500000US40031,47730,14954,8759,10893,6664,6460
0500000US40037,30677,7976,5409,7775,4869,4648
0500000US40101,28040,8342,5177,5550,2878,6093
0500000US40109,336125,117293,59829,89863,34309,34831
0500000US40119,38623,15325,5940,10198,4215,2945
0500000US40125,30803,8870,6573,6163,3544,5653
0500000US40131,41219,14663,4907,10492,4474,6683
0500000US40143,284180,99769,49673,74135,30102,30501
0500000US40145,35446,10315,7045,10008,3668,4410
0500000US41003,40325,19576,6595,8736,2446,2972
0500000US41005,174392,63660,28120,47132,17486,17994
0500000US41017,66715,25431,15179,14398,6367,5340
0500000US41019,38593,10185,9084,8857,3879,6588
0500000US41029,84959,26734,17223,23669,7329,10004
0500000US41033,30625,9208,6027,7878,3796,3716
0500000US41035,27138,8401,5141,6564,3862,3170
0500000US41039,155311,54224,30816,38737,14211,17323
0500000US41043,46951,14849,6657,12645,6134,6666
0500000US41047,130889,41633,23623,31672,15362,18599
0500000US41051,359931,151590,65812,82031,20812,39686
0500000US41053,31589,9807,7985,6962,3757,3078
0500000US41059,31498,9180,7014,6491,4262,4551
0500000US41067,255515,109032,39958,66836,18237,21452
0500000US41071,43739,11495,10480,10334,5452,5978
0500000US42001,52368,16757,9145,10011,6621,9834
0500000US42003,589876,246412,103112,151156,37045,52151
0500000US42005,31764,8337,5833,6877,3845,6872
0500000US42007,77709,24123,13523,20574,8054,11435
0500000US42011,193364,63815,34648,44467,15960,34474
0500000US42013,58564,17628,10485,15312,6045,9094
0500000US42017,318956,133081,45871,84437,24645,30922
0500000US42019,88193,30970,14871,21725,8450,12177
0500000US42021,62467,19350,12888,14901,5952,9376
0500000US42025,27665,6647,5650,7660,3653,4055
0500000US42027,73162,32689,12670,15436,4433,7934
0500000US42029,252993,121563,33382,60430,17932,19686
0500000US42033,33430,7504,7070,7526,4128,7202
0500000US42037,30787,8566,5467,7800,2727,6227
0500000US42039,37687,10799,7106,8000,3868,7914
0500000US42041,119635,45940,17488,33186,8889,14132
0500000US42043,129444,48431,20667,33659,10327,16360
0500000US42045,265831,112927,42703,66812,19764,23625
0500000US42049,125071,38711,24613,29697,9409,22641
0500000US42051,52157,14023,11490,13076,5274,8294
0500000US42055,68976,22131,11778,15742,6793,12532
0500000US42063,38219,11242,6681,8457,5534,6305
0500000US42069,96839,31836,18615,24320,7189,14879
0500000US42071,249828,79791,37730,60527,26702,45078
0500000US42073,38593,11819,6590,9452,4017,6715
0500000US42075,62284,20144,10548,16280,5457,9855
0500000US42077,160616,62109,24509,41776,10477,21745
0500000US42079,142502,44503,24809,38053,9539,25598
0500000US42081,52784,13873,9675,13531,5064,10641
0500000US42085,48826,13541,11113,11687,3462,9023
0500000US42089,73031,25011,12384,20546,6713,8377
0500000US42091,411517,199633,49922,103307,27242,31413
0500000US42095,136335,46506,22956,34161,11230,21482
0500000US42097,41077,9979,8016,10608,4437,8037
0500000US42101,597521,209333,139698,148715,32929,66846
0500000US42107,63159,17556,9982,14830,7608,13183
0500000US42111,32971,8788,6225,6797,4352,6809
0500000US42125,95951,31552,18829,22074,9672,13824
0500000US42129,167264,55963,29945,40194,15726,25436
0500000US42133,215887,71978,33525,52645,22193,35546
0500000US44003,80650,27427,13804,22142,6251,11026
0500000US44005,43217,17220,10406,9580,2864,3147
0500000US44007,279266,94536,56028,69796,17509,41397
0500000US44009,63718,27896,11947,14232,4941,4702
0500000US45003,65366,23593,10067,12831,7224,11651
0500000US45007,77245,20001,13668,20430,8243,14903
0500000US45013,61870,20640,13370,15921,7346,4593
0500000US45015,75784,22172,15042,20535,8749,9286
0500000US45019,166893,65949,31478,39811,14151,15504
0500000US45031,24910,5822,3948,7214,2861,5065
0500000US45035,61291,20072,11629,16347,5591,7652
0500000US45041,55503,19732,11234,14716,2671,7150
0500000US45045,205346,77041,36284,49564,16720,25737
0500000US45047,28642,7247,6104,6799,3442,5050
0500000US45051,118696,30499,30603,36584,13144,7866
0500000US45057,29292,7376,4841,7972,3725,5378
0500000US45059,27321,5954,4437,7305,3789,5836
0500000US45063,126322,45392,20069,34108,15750,11003
0500000US45073,31197,10780,6317,6281,3333,4486
0500000US45075,31553,10068,7163,6924,2015,5383
0500000US45077,47668,14291,8657,10228,5929,8563
0500000US45079,172686,68765,30362,44505,13278,15776
0500000US45083,122856,35689,18904,33406,9412,25445
0500000US45085,38806,11963,8203,8752,4076,5812
0500000US01003,77263,25285,16181,18389,9903,7505
