GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US06085,979335,516597,149816,179304,59657,73961
0500000US06087,135997,52981,26872,30593,13994,11557
0500000US06089,72804,23224,16486,17889,7866,7339
0500000US06095,204873,66363,45003,47602,21430,24475
0500000US06097,254696,94328,55528,60315,22050,22475
0500000US13045,49499,13487,7752,13766,5336,9158
0500000US13047,32856,9811,3931,9678,4283,5153
0500000US13051,139326,46663,29547,33748,10568,18800
0500000US13057,123042,53598,18804,32205,9480,8955
0500000US13059,60810,23505,14024,11470,3359,8452
0500000US13063,127080,30699,27577,34965,12251,21588
0500000US13067,392106,176342,62200,93599,27728,32237
0500000US13073,65187,27752,10410,16287,5599,5139
0500000US13077,69693,24921,10446,17381,8752,8193
0500000US13089,372074,164049,57788,85758,24346,40133
0500000US13095,35405,10878,8468,8213,2147,5699
0500000US13097,70398,24896,11323,17188,6548,10443
0500000US13113,54138,23592,7103,12892,4989,5562
0500000US13115,42953,14074,7358,9178,4125,8218
0500000US13117,111362,55853,13816,28145,6696,6852
0500000US13121,519248,261305,78903,121483,19038,38519
0500000US13127,38596,10358,9229,9914,5665,3430
0500000US13135,458311,167104,75395,119536,45091,51185
0500000US13139,91777,25363,11732,21689,10983,22010
0500000US13151,106824,36846,15690,27046,11832,15410
0500000US13153,71980,25255,13690,17311,8988,6736
0500000US13179,21828,6791,3630,5298,2826,3283
0500000US13185,46243,14256,8554,14183,3709,5541
0500000US13215,80530,27052,15965,20340,5218,11955
0500000US13217,44793,11434,9787,11226,4892,7454
0500000US13223,74892,24808,13626,20020,8004,8434
0500000US13245,80602,24420,18876,22113,6202,8991
0500000US13247,38625,13875,5655,8816,3863,6416
0500000US13285,31497,8832,4388,7120,2155,9002
0500000US13295,27557,6759,4210,6114,4256,6218
0500000US13297,40475,12787,6085,10609,6830,4164
0500000US13313,46759,11076,4900,9790,4787,16206
0500000US15001,85429,28007,20399,19225,9350,8448
0500000US15003,479246,170411,102197,120110,45993,40535
0500000US15007,36149,9666,10118,9599,3254,3512
0500000US15009,85569,22220,26457,19845,8557,8490
0500000US16001,222332,97378,36677,54579,13656,20042
0500000US16005,35939,12942,6779,9621,3166,3431
0500000US16019,50285,18743,7750,13299,5086,5407
0500000US16027,93010,23286,18993,22832,12376,15523
0500000US16055,68353,21878,14391,18402,7802,5880
0500000US16083,39448,13817,6852,8141,4875,5763
0500000US17001,32174,10395,5325,8272,3817,4365
0500000US17019,106361,50301,17567,20752,6004,11737
0500000US17031,2553709,1004685,466003,584154,151519,347348
0500000US17037,55997,18152,11344,12758,4446,9297
0500000US17043,490593,220289,65602,130082,25250,49370
0500000US17089,262109,93633,40627,65230,21935,40684
0500000US17091,50444,15806,8230,12438,3764,10206
0500000US17093,66288,26136,7627,17696,5133,9696
0500000US17097,354666,148591,56353,87436,20871,41415
0500000US17099,50172,14245,10063,10346,5469,10049
0500000US17111,162313,58096,24358,42741,14850,22268
0500000US17113,92174,38654,15927,23077,7048,7468
0500000US17115,46658,14579,9226,11169,4032,7652
0500000US17119,123906,44483,22499,31026,10061,15837
0500000US17143,83934,33260,15925,21864,5468,7417
0500000US17161,68139,20180,14636,16507,5634,11182
0500000US17163,121216,40675,24650,29638,8943,17310
0500000US17167,93345,37527,16905,25387,5135,8391
0500000US17179,65241,20826,10034,18450,6086,9845
0500000US17183,30683,8207,5585,7236,2604,7051
0500000US17197,346425,129078,54983,85866,31744,44754
