GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US13089,368437,162263,58756,87197,21034,39187
0500000US13095,33824,10973,6477,7772,3246,5356
0500000US13097,65067,23448,10966,13127,6186,11340
0500000US13113,52346,23168,5705,12794,3872,6807
0500000US13115,39913,11647,9441,7589,4138,7098
0500000US13117,104129,52184,13174,25184,7112,6475
0500000US13121,508206,248431,76635,120085,20120,42935
0500000US13127,37878,13329,7837,9254,2881,4577
0500000US13135,438765,162556,68248,115006,45926,47029
0500000US13139,86852,25029,11838,20975,9052,19958
0500000US13151,97169,32592,14350,26138,9818,14271
0500000US13153,67052,23334,12138,14975,7342,9263
0500000US13179,20848,4618,5632,5158,2568,2872
0500000US13185,44544,13442,10147,10901,4107,5947
0500000US13215,77398,24618,14785,20056,6588,11351
0500000US13217,46835,11260,9454,11977,6021,8123
0500000US13223,76935,25743,11710,21713,8411,9358
0500000US13245,79370,22590,14132,24096,8600,9952
0500000US13247,39798,12400,5071,9691,4181,8455
0500000US13285,28450,8311,5141,6134,2221,6643
0500000US13295,30060,7292,4670,8839,2423,6836
0500000US13297,40158,12070,5571,12542,5234,4741
0500000US13313,48579,9399,3612,11640,4506,19422
0500000US15001,84143,26462,18003,21927,12021,5730
0500000US15003,471067,164706,102460,118776,43486,41639
0500000US15007,36746,9938,11414,7748,4684,2962
0500000US15009,83147,26063,22704,19048,8349,6983
0500000US16001,211320,90657,38081,50236,13941,18405
0500000US16005,34863,10934,7149,8156,3518,5106
0500000US16019,48214,18055,8619,10362,4833,6345
0500000US16027,87152,22701,17288,21682,13607,11874
0500000US16055,69862,23157,13496,17986,6853,8370
0500000US16083,38907,11095,9503,8419,4488,5402
0500000US17001,32044,10102,6449,8033,2093,5367
0500000US17019,101586,46780,17160,20526,5149,11971
0500000US17031,2521026,984788,457697,599487,154761,324293
0500000US17037,50713,17307,9499,12134,4764,7009
0500000US17043,490503,221363,65139,122179,26838,54984
0500000US17089,265968,90801,44719,61939,24747,43762
0500000US17091,48556,15424,7568,11492,5052,9020
0500000US17093,65425,27875,10662,14446,6027,6415
0500000US17097,351135,146349,54535,85798,22921,41532
0500000US17099,52267,14789,11904,11395,4482,9697
0500000US17111,163454,61571,25679,43654,12667,19883
0500000US17113,91757,39677,17459,23864,3630,7127
0500000US17115,47989,16443,9611,10489,4289,7157
0500000US17119,123979,43239,22313,30015,11254,17158
0500000US17143,85449,31834,15057,21786,7118,9654
0500000US17161,69021,19792,13231,15266,5680,15052
0500000US17163,118124,43954,21725,26078,9944,16423
0500000US17167,93156,39416,16344,22437,6990,7969
0500000US17179,65024,22931,10606,16310,5273,9904
0500000US17183,31947,8239,6211,7342,3608,6547
0500000US17197,342392,121729,57156,84814,27142,51551
0500000US17199,27538,8338,5899,7056,3121,3124
0500000US17201,131245,39663,26324,30565,9712,24981
0500000US18003,175857,62292,28956,39215,13701,31693
0500000US18005,40420,15577,5034,8761,3191,7857
0500000US18019,56842,17900,9770,13650,5316,10206
0500000US18035,52858,15946,12985,11022,4535,8370
0500000US18039,92706,23625,13209,18869,7920,29083
0500000US18043,38075,13927,6395,8860,3511,5382
0500000US18053,30235,8084,5755,7986,1825,6585
0500000US18057,165516,83600,18724,43850,9879,9463
0500000US18059,38440,14333,4953,10891,3542,4721
0500000US18063,85188,36526,11790,20687,5239,10946
0500000US18067,35488,10742,6007,7254,2903,8582
0500000US18081,72088,28896,10399,17086,5787,9920
0500000US18085,37974,11262,4887,8532,3271,10022
0500000US18089,215612,65857,39384,51545,19313,39513
0500000US18091,46640,11379,8437,11177,5510,10137
0500000US18095,56603,15386,12612,14493,4703,9409
0500000US18097,452244,154484,79725,116383,34157,67495
0500000US18105,71532,29501,16550,15737,3261,6483
0500000US18109,31813,9554,4043,7939,4485,5792
0500000US18127,76412,27053,11258,16079,8417,13605
0500000US18141,123580,45406,20443,28339,8103,21289
0500000US18157,94641,35095,16930,18330,8119,16167
0500000US18163,87789,26461,15153,22307,6900,16968
0500000US18167,46484,15655,9168,9456,4747,7458
0500000US18177,28766,8085,5400,6657,3035,5589
0500000US19013,69138,21746,13580,15922,4893,12997
0500000US19049,43657,21504,4264,10518,2368,5003
0500000US19061,50502,18945,8030,12706,3542,7279
0500000US19103,83017,35354,16549,16155,4799,10160
0500000US19113,117437,44336,19249,26083,10185,17584
0500000US19153,248032,96119,41244,62260,20596,27813
0500000US19155,47487,13720,8032,11251,6315,8169
0500000US19163,84327,29207,16812,18250,7267,12791
0500000US19169,50910,24795,8594,10171,2833,4517
0500000US19193,52168,15891,8875,11804,4341,11257
0500000US20015,32219,13001,4898,6590,3887,3843
0500000US20045,63871,28162,10773,15278,3838,5820
0500000US20091,312737,158314,40447,75587,13598,24791
0500000US20103,34480,12438,6875,6397,4564,4206
0500000US20161,34105,12932,7609,8619,2813,2132
0500000US20173,243672,82668,45732,53861,24978,36433
0500000US20177,83877,31515,15350,18617,6914,11481
0500000US20209,75726,15936,17335,17479,10223,14753
0500000US21015,65245,25360,9032,17628,4063,9162
0500000US21029,37153,9342,5246,10735,4191,7639
0500000US21037,46781,19150,7664,10487,3484,5996
0500000US21047,24473,6586,4923,6135,2331,4498
0500000US21059,45644,13442,7533,11690,4004,8975
0500000US21067,162221,66866,33005,38603,10107,13640
0500000US21093,46921,12941,8889,11781,3961,9349
0500000US21111,375008,145841,57173,90734,23644,57616
0500000US21117,82722,29953,13949,20847,5333,12640
0500000US21145,29480,10207,5325,7910,2441,3597
0500000US21151,39456,12701,7629,10111,2939,6076
0500000US21195,22805,7301,4769,4353,3381,3001
0500000US21227,56640,18856,10287,13733,4373,9391
0500000US22005,56472,20032,7239,15596,6084,7521
0500000US22015,54876,20066,9384,14659,7319,3448
0500000US22017,104081,32685,23163,25194,9596,13443
0500000US22019,89807,27745,16936,19109,11908,14109
0500000US22033,218640,87244,41451,48994,18973,21978
0500000US22045,31138,7349,5653,8855,5729,3552
0500000US22051,212818,69048,38745,55273,28549,21203
0500000US22055,120537,45247,25994,26988,12190,10118
0500000US22057,44996,12869,6743,11142,6603,7639
0500000US22063,62515,21091,8752,15506,7876,9290
0500000US22071,184601,77638,43212,36162,13150,14439
0500000US22073,63887,21849,11356,17548,5332,7802
0500000US22079,54977,17455,12991,12478,5712,6341
0500000US22097,29969,9357,4387,7725,4335,4165
0500000US22103,114900,45427,17943,31913,10066,9551
0500000US22105,58396,16246,12875,16626,6541,6108
0500000US22109,47301,11907,7787,11601,7482,8524
0500000US23001,54658,18376,9811,13225,5487,7759
0500000US23003,29939,9592,5157,6260,3710,5220
0500000US23005,156642,69254,24906,38323,12571,11588
0500000US23011,57796,22745,8877,15385,5324,5465
0500000US23019,68454,25545,13250,16310,6218,7131
0500000US23031,105884,36327,20135,26205,10518,12699
0500000US24001,28427,7848,6609,7420,2196,4354
0500000US24003,288276,132398,47538,65962,19982,22396
0500000US24005,418209,178055,68308,110114,27516,34216
0500000US24009,47034,18843,8005,10599,5722,3865
0500000US24013,86245,36334,14238,19783,8940,6950
0500000US24015,50609,19261,8526,11452,5725,5645
0500000US24017,79406,30291,16829,18039,8533,5714
0500000US24021,131344,58729,19129,30773,12695,10018
0500000US24025,125798,54994,18863,30348,10087,11506
0500000US24027,167540,100302,19309,31337,7226,9366
0500000US24031,555886,309332,91181,96424,32922,26027
0500000US24033,481178,184733,104805,103676,46600,41364
0500000US24037,55428,27242,8764,10959,4727,3736
0500000US24043,67216,20986,13410,15797,6523,10500
0500000US24045,49752,15341,11982,11597,4653,6179
0500000US24510,270992,112936,51683,61487,14205,30681
0500000US25001,104949,38088,21435,24664,11956,8806
