GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US41051,388842,169169,75506,78719,22322,43126
0500000US41053,33772,11024,6533,8551,3330,4334
0500000US41059,30915,8109,4932,6999,5349,5526
0500000US41067,276940,121390,39814,68752,19807,27177
0500000US41071,43456,13519,8406,9296,4543,7692
0500000US42001,50325,14588,7331,11679,5539,11188
0500000US42003,614121,265510,108116,149691,37790,53014
0500000US42005,30243,7517,5867,6773,4697,5389
0500000US42007,81997,25843,14172,22731,7435,11816
0500000US42011,198055,61503,32402,49300,17333,37517
0500000US42013,58622,18474,12289,13158,4472,10229
0500000US42017,318734,131681,43512,85418,27181,30942
0500000US42019,92385,35014,15991,21983,7579,11818
0500000US42021,59720,20156,11362,13685,6070,8447
0500000US42025,28846,5952,5837,7041,4014,6002
0500000US42027,73669,30849,13593,16971,5491,6765
0500000US42029,261777,124940,36366,60456,17718,22297
0500000US42033,32465,9166,6406,6965,3451,6477
0500000US42037,31587,9644,6000,7510,3072,5361
0500000US42039,37155,11299,6289,7787,3946,7834
0500000US42041,118304,45939,18724,31727,6584,15330
0500000US42043,133936,51729,24174,34657,6841,16535
0500000US42045,267511,114752,46142,65032,16210,25375
0500000US42049,128869,41815,26281,29669,9906,21198
0500000US42051,52923,13951,9895,13821,5203,10053
0500000US42055,71325,22525,11694,16641,6859,13606
0500000US42063,39664,11552,8156,9885,5239,4832
0500000US42069,96589,31561,18632,26287,7491,12618
0500000US42071,256995,86261,41148,61268,25972,42346
0500000US42073,38968,12214,6912,9093,4128,6621
0500000US42075,63725,19790,10768,15464,5583,12120
0500000US42077,166045,58928,27168,43149,10906,25894
0500000US42079,145850,45251,28208,37302,10727,24362
0500000US42081,52348,15358,10618,12430,5018,8924
0500000US42085,52111,15348,11015,12504,3839,9405
0500000US42089,77282,23584,16661,19399,5807,11831
0500000US42091,415456,202783,55784,99577,25109,32203
0500000US42095,143289,52137,22605,34937,12202,21408
0500000US42097,42132,11034,8334,9986,5281,7497
0500000US42101,640062,229115,149232,156443,35672,69600
0500000US42107,64722,16862,11288,15685,6664,14223
0500000US42111,33677,9904,6782,7689,3728,5574
0500000US42125,100053,33463,16076,25746,10929,13839
0500000US42129,171094,59442,28121,41566,16228,25737
0500000US42133,218782,69939,36234,52695,20452,39462
0500000US44003,88131,32645,16880,23633,7092,7881
0500000US44005,40407,19175,7130,7821,2987,3294
0500000US44007,299348,98329,65018,73144,21644,41213
0500000US44009,63518,29443,11113,12834,4396,5732
0500000US45003,69042,23334,11700,15113,7884,11011
0500000US45007,79687,25113,13317,18277,8612,14368
