GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US37195,35324,10946,7042,6964,3908,6464
0500000US38015,50851,21357,8957,10910,5903,3724
0500000US38017,108309,43033,19031,27274,8907,10064
0500000US38035,38534,13779,7211,10003,3892,3649
0500000US38101,34847,11189,6070,9697,3760,4131
0500000US39003,48123,16160,7429,10184,4177,10173
0500000US39007,39441,10203,7285,9188,2879,9886
0500000US39009,27761,9373,6824,7213,1498,2853
0500000US39013,30164,8356,6841,6828,3729,4410
0500000US39017,187010,71846,29603,48825,11953,24783
0500000US39023,60046,17924,11682,13410,5161,11869
0500000US39025,102740,38757,15710,24918,8918,14437
0500000US39029,42089,9874,8212,8330,5964,9709
0500000US39035,595701,241507,106010,139154,32299,76731
0500000US39041,104450,56815,13261,21932,4154,8288
0500000US39043,37548,11909,6423,7268,4004,7944
0500000US39045,73623,27481,12220,18427,5279,10216
0500000US39049,674866,288015,117585,152326,33817,83123
0500000US39055,49103,20850,8624,9626,4610,5393
0500000US39057,79645,36323,14778,16551,5084,6909
0500000US39061,412313,174428,73058,89412,27001,48414
0500000US39063,38891,12868,6572,9310,2622,7519
0500000US39081,28116,7515,6191,7125,2278,5007
0500000US39085,114692,43340,19659,26625,7246,17822
0500000US39089,84171,30865,14485,19357,7585,11879
0500000US39093,140479,46849,27001,33979,11888,20762
0500000US39095,197322,65694,35517,45775,15389,34947
0500000US39099,104440,33895,20722,25171,7360,17292
0500000US39101,24876,7794,3653,5078,1939,6412
0500000US39103,92217,39209,12835,20965,7391,11817
0500000US39109,51496,18147,8871,10330,3602,10546
0500000US39113,242759,93881,46686,53621,14818,33753
0500000US39119,38393,11172,7090,8478,4081,7572
0500000US39133,83510,26428,15006,19548,8517,14011
0500000US39139,52595,16275,10807,11527,3957,10029
0500000US39141,30760,10266,5917,7203,2187,5187
0500000US39145,28846,9996,4885,7169,2774,4022
0500000US39151,173722,55810,32025,41517,12770,31600
0500000US39153,269183,98281,45780,70533,16624,37965
0500000US39155,86617,25070,13497,20067,9002,18981
0500000US39157,43989,10518,7120,9090,4122,13139
0500000US39165,115541,56393,15607,24106,6144,13291
0500000US39169,54669,17558,7519,11236,6144,12212
0500000US39173,70550,29842,12144,13648,3680,11236
0500000US40017,72424,27977,12168,17784,5939,8556
0500000US40027,142650,55523,25321,35515,11700,14591
0500000US40031,49597,18098,10320,10199,5429,5551
0500000US40037,30278,9456,4793,6554,3965,5510
0500000US40101,25088,7953,4770,5257,2532,4576
0500000US40109,371774,141649,62281,91362,39773,36709
0500000US40119,36462,15588,8500,6269,3889,2216
0500000US40125,31225,9377,7179,7175,3480,4014
0500000US40131,43069,15149,6983,9449,5575,5913
0500000US40143,311380,121350,52211,72905,28089,36825
0500000US40145,36812,12392,5712,9370,4073,5265
0500000US41003,46403,23857,7105,9473,2150,3818
0500000US41005,212319,87660,27903,53198,20993,22565
0500000US41017,91818,33581,19736,20447,10347,7707
0500000US41019,43975,11677,8261,10671,5600,7766
0500000US41029,96395,34611,17770,22837,9774,11403
0500000US41033,30648,9632,7521,7071,3117,3307
0500000US41035,26436,7539,5551,6777,3334,3235
0500000US41039,174646,63627,36270,40851,13075,20823
0500000US41043,54332,14976,10267,11116,7542,10431
0500000US41047,152798,46584,27610,36542,21070,20992
0500000US41051,442190,199535,75858,91800,27299,47698
0500000US41053,35834,11478,9272,7975,3478,3631
0500000US41059,33647,10510,5004,7253,5894,4986
0500000US41067,311362,143125,47896,67066,20733,32542
0500000US41071,48890,17862,9951,8592,5284,7201
0500000US42001,51121,15559,9153,10604,6252,9553
0500000US42003,625949,290545,103413,142655,37422,51914
0500000US42005,29154,7919,5452,5763,3647,6373
0500000US42007,79662,27288,14208,19603,6652,11911
0500000US42011,203508,66502,34409,47374,17146,38077
0500000US42013,55137,16426,10260,14420,4552,9479
0500000US42017,336405,150692,47242,81931,25890,30650
0500000US42019,95108,39280,13052,21670,9565,11541
0500000US42021,56555,18599,10737,12990,5555,8674
0500000US42025,28606,7863,5736,6991,2684,5332
0500000US42027,76120,38574,12273,14900,4293,6080
0500000US42029,274328,134835,38214,61065,19684,20530
0500000US42033,33439,9541,6923,6548,2927,7500
0500000US42037,31204,10714,4736,6822,3436,5496
0500000US42039,39905,11362,7820,8725,4005,7993
0500000US42041,125065,54846,17533,30370,7542,14774
0500000US42043,139315,50666,25394,33712,11161,18382
0500000US42045,282339,127622,47338,65191,18706,23482
0500000US42049,123077,39711,26448,28508,9873,18537
