GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US41051,383034,160971,71189,88729,22073,40072
0500000US41053,31208,10945,5574,7147,3165,4377
0500000US41059,32502,7627,6320,7663,5282,5610
0500000US41067,267857,117829,41164,63545,20334,24985
0500000US41071,43244,12299,8210,9374,5599,7762
0500000US42001,51524,14961,9974,11810,5249,9530
0500000US42003,608132,263310,102902,153580,35475,52865
0500000US42005,30080,7836,5661,7037,3672,5874
0500000US42007,80338,25355,15740,19257,7926,12060
0500000US42011,195657,60991,33597,49263,18235,33571
0500000US42013,56844,16675,12103,13516,4959,9591
0500000US42017,317128,130599,42343,86721,25104,32361
0500000US42019,90023,32436,13465,24622,7100,12400
0500000US42021,58036,18597,11240,13533,5166,9500
0500000US42025,29478,7745,5916,6932,3440,5445
0500000US42027,71742,33375,12465,15756,4494,5652
0500000US42029,258256,124839,35234,58739,20182,19262
0500000US42033,34971,8782,7190,7989,4191,6819
0500000US42037,31284,9431,5080,6840,3230,6703
0500000US42039,37948,11487,7401,8270,3734,7056
0500000US42041,118238,43558,18659,31172,8123,16726
0500000US42043,132337,49336,26156,33086,8124,15635
0500000US42045,264657,109537,45706,69129,18770,21515
0500000US42049,127963,44981,22360,30135,9445,21042
0500000US42051,54264,13327,10355,12719,7352,10511
0500000US42055,71616,23673,12751,14922,7838,12432
0500000US42063,39426,10682,7490,9319,4767,7168
0500000US42069,97050,33971,19181,23418,7704,12776
0500000US42071,251298,83617,41319,58505,26635,41222
0500000US42073,39609,12791,8348,8785,4101,5584
0500000US42075,65726,18929,10843,14560,7299,14095
0500000US42077,171674,60214,30686,42644,11179,26951
0500000US42079,145810,43704,25971,38799,10598,26738
0500000US42081,54970,16150,9335,13463,6710,9312
0500000US42085,49452,14916,8912,12128,4242,9254
0500000US42089,76061,25431,17271,17778,6413,9168
0500000US42091,413402,199246,53930,100086,25497,34643
0500000US42095,139605,47321,24449,34560,10458,22817
0500000US42097,39736,11222,8613,8253,3493,8155
0500000US42101,614215,224131,146829,149175,31915,62165
0500000US42107,64369,17100,11665,13147,7232,15225
0500000US42111,32863,9659,6519,6875,4427,5383
0500000US42125,100392,32596,18686,26352,10541,12217
0500000US42129,176303,57783,32409,44039,16757,25315
0500000US42133,212041,66694,36043,50569,19417,39318
0500000US44003,84950,30853,15560,21740,6360,10437
0500000US44005,40522,15198,10293,9399,2906,2726
0500000US44007,298320,97784,63395,74011,23759,39371
0500000US44009,64901,27572,13163,14497,5132,4537
0500000US45003,67019,23202,13444,13571,6941,9861
0500000US45007,77153,23955,11453,20231,7339,14175
0500000US45013,67573,24876,15675,15171,7152,4699
0500000US45015,80650,26248,13334,20299,10555,10214
0500000US45019,175943,64403,36913,43204,13915,17508
0500000US45031,25971,6788,4946,6983,2569,4685
0500000US45035,64118,21164,10917,16888,6556,8593
0500000US45041,58964,19888,11001,14906,5464,7705
0500000US45045,211732,79077,33611,53055,15859,30130
0500000US45047,24855,8199,3996,5944,1921,4795
0500000US45051,124374,36315,31447,35157,11885,9570
0500000US45057,29325,9170,4369,8136,2727,4923
0500000US45059,26303,5765,5539,6468,2474,6057
0500000US45063,130763,46633,19878,34987,13917,15348
0500000US45073,26362,9013,4898,5111,3155,4185
0500000US45075,34584,9584,6431,7902,2963,7704
0500000US45077,50090,17215,9603,11917,3720,7635
0500000US45079,177982,69940,33823,48968,9931,15320
0500000US45083,121314,35469,21827,27665,10795,25558
0500000US45085,43712,13299,9160,9693,4889,6671
0500000US45091,106405,35046,18357,29456,6806,16740
0500000US46099,95434,30919,16971,24423,7686,15435
0500000US46103,52878,17091,11224,13635,5772,5156
0500000US47001,30976,10178,4456,8582,3518,4242
0500000US47009,54296,18466,8615,15730,4972,6513
0500000US47011,40309,12057,7424,10006,3204,7618
0500000US47037,325346,130150,51461,91148,19952,32635
0500000US47059,27748,8082,5561,4622,3379,6104
0500000US47065,161195,60391,29284,39409,11663,20448
0500000US47093,213446,84959,35729,54945,17204,20609
0500000US47113,42468,15264,8925,8896,3434,5949
0500000US47119,35810,10642,7894,8594,3667,5013
0500000US47125,72625,21859,14409,19944,6908,9505
0500000US47141,29612,9403,5415,7191,3119,4484
0500000US47147,31296,9640,4934,6554,3257,6911
0500000US47149,135605,44998,22178,36577,11758,20094
0500000US47155,45595,12243,10752,15549,3699,3352
0500000US47157,418646,146427,69443,110270,28257,64249
0500000US47163,66004,20325,10707,18474,5903,10595
0500000US47165,78717,27367,11588,22630,6595,10537
0500000US47179,57361,20906,10927,13802,5197,6529
0500000US47187,97138,52161,10662,24787,3299,6229
0500000US47189,55690,19691,6917,19903,4296,4883
0500000US48005,33518,9021,6690,6516,5591,5700
0500000US48021,33850,9666,5772,10482,4693,3237
0500000US48027,119901,36942,24506,33491,11899,13063
0500000US48029,808039,273707,164527,210648,80652,78505
0500000US48037,36936,9182,8002,10036,4368,5348
0500000US48039,147657,55299,23110,32885,18427,17936
0500000US48041,93842,37141,15841,23543,9104,8213
0500000US48061,144036,36089,37523,36301,17072,17051
0500000US48085,431458,224219,52935,107727,22494,24083
0500000US48091,53026,20924,10602,13790,3962,3748
0500000US48099,23224,7354,5913,5652,2089,2216
0500000US48113,1157985,374511,215676,292999,127888,146911
0500000US48121,366841,155808,52120,101421,25828,31664
0500000US48135,67912,14919,10746,16283,12251,13713
0500000US48139,72215,22158,12246,18918,7917,10976
0500000US48141,317375,91154,64756,88947,32924,39594
0500000US48157,296261,136984,39494,73118,19142,27523
0500000US48167,137996,53504,23426,30529,15663,14874
0500000US48181,52876,15712,10701,12459,6849,7155
0500000US48183,53938,14935,9510,12565,7008,9920
0500000US48187,65694,23203,9835,16019,6402,10235
0500000US48201,2002023,673634,371140,474002,228243,255004
0500000US48203,29543,8060,5360,7128,5031,3964
0500000US48209,80375,30623,13452,22478,7338,6484
0500000US48213,31060,7405,5111,8396,5338,4810
0500000US48215,287475,79101,65990,72698,37467,32219
0500000US48231,32840,9808,5460,8455,3842,5275
0500000US48245,101519,27660,20910,25788,12973,14188
0500000US48251,69914,20144,9357,18841,9190,12382
0500000US48257,47288,15401,8338,12112,6098,5339
0500000US48291,27238,5018,4366,6540,5210,6104
0500000US48303,137304,47760,27984,35241,12473,13846
0500000US48309,103422,33274,19970,25563,9322,15293
0500000US48329,73610,23016,8506,21033,11479,9576
0500000US48339,216365,86832,31800,49655,22866,25212
0500000US48347,28112,6915,6151,7118,2431,5497
0500000US48355,160307,43522,34160,38185,24802,19638
0500000US48361,34338,10444,4941,8021,4726,6206
0500000US48367,55124,21253,8644,13060,6431,5736
0500000US48375,52454,13244,12287,11578,6926,8419
0500000US48381,62701,21626,9560,17998,6064,7453
0500000US48397,39264,16867,4240,11775,3825,2557
0500000US48409,29491,8125,6663,6210,4839,3654
0500000US48423,95814,35511,18491,20557,10711,10544
0500000US48439,898402,319152,150223,230369,80501,118157
0500000US48441,57641,16884,12570,15005,6997,6185
0500000US48451,50836,13695,10804,12145,8154,6038
0500000US48453,575909,259967,98259,134063,46953,36667
0500000US48469,41748,10360,7570,10887,6614,6317
0500000US48471,21240,6149,5510,5687,2742,1152
0500000US48479,94829,25404,18301,27810,11504,11810
0500000US48485,54757,17520,11480,12674,5427,7656
0500000US48491,222771,99353,33076,55783,16276,18283
0500000US49005,53558,19588,9035,12744,4395,7796
0500000US49011,145794,61793,18623,36242,13449,15687
0500000US49035,520130,195910,77512,148225,40121,58362
0500000US49049,240486,95313,41664,61650,18545,23314
0500000US49053,54740,18024,10917,14486,4701,6612
0500000US49057,108512,33081,16832,29313,11531,17755
0500000US50007,88995,44008,14259,18695,5970,6063
0500000US51003,48361,24386,7898,9208,3302,3567
0500000US51013,141213,92837,15820,24386,4646,3524
0500000US51015,33679,10300,5706,7259,3923,6491
0500000US51019,32919,12027,4882,6484,3760,5766
0500000US51041,158664,68565,22712,39419,14252,13716
0500000US51059,606250,333232,91322,119337,35058,27301
0500000US51061,34284,13118,4896,9410,3979,2881
0500000US01003,84236,28230,14100,21640,10285,9981
0500000US01015,46165,10997,7582,11033,4802,11751
0500000US01043,35376,8473,5984,8736,5639,6544
0500000US01049,27049,5829,5246,5365,2523,8086
0500000US01051,37572,10759,6858,8103,3970,7882
0500000US01055,38842,8605,7726,9063,3884,9564
0500000US01069,44081,13620,7573,11846,4153,6889
0500000US01073,287272,111464,47293,75686,22359,30470
0500000US01077,38144,10853,7534,8533,4883,6341
0500000US01081,68181,25132,12312,16804,6109,7824
0500000US01083,38587,12084,5636,9595,4914,6358
0500000US01089,162239,73447,26868,36643,9521,15760
0500000US01095,37428,10743,4896,9978,3487,8324
0500000US01097,164770,51491,29988,43918,16288,23085
0500000US01101,96705,35253,17450,24732,5464,13806
0500000US01103,51393,14727,8665,12676,6519,8806
0500000US01115,36724,11059,4588,10910,4626,5541
0500000US01117,100509,42865,15925,26193,6873,8653
0500000US01121,31058,7705,3321,7198,4225,8609
0500000US01125,87256,27901,19363,21063,7332,11597
0500000US01127,24692,5985,3794,7004,3707,4202
0500000US02020,153778,62082,29885,34524,14742,12545
0500000US02090,46381,17176,9270,9551,5529,4855
0500000US02170,40435,13882,7268,8930,5870,4485
0500000US04001,19489,5824,5191,3598,2583,2293
0500000US04003,43846,14648,12849,8998,3984,3367
0500000US04005,65614,23073,14793,16287,4823,6638
0500000US04013,1770029,640234,329005,484436,147462,168892
0500000US04015,63230,14547,17186,17768,6105,7624
0500000US04017,31836,9403,8228,7210,3467,3528
0500000US04019,417745,150482,91561,103844,37396,34462
0500000US04021,138459,44944,30452,32145,16247,14671
0500000US04025,81859,25579,20094,18531,9767,7888
0500000US04027,68254,17000,16509,16069,11335,7341
0500000US05007,106382,35424,15022,29389,8832,17715
0500000US05031,47478,13943,7734,12233,5189,8379
0500000US05045,59178,21237,9099,14834,7271,6737
0500000US05051,40597,13174,8097,12025,4101,3200
0500000US05069,28372,8549,5461,6608,2014,5740
0500000US05085,31007,11962,4244,7103,3811,3887
0500000US05119,173848,67307,31104,46041,11301,18095
0500000US05125,53771,18874,7921,13954,7046,5976
0500000US05131,55849,15779,10756,13167,4202,11945
0500000US05143,98467,33285,16439,25029,9025,14689
0500000US05145,32461,9217,6858,7011,3842,5533
0500000US06001,747170,347329,123096,164736,45082,66927
0500000US06007,86165,26894,21156,21914,8215,7986
0500000US06013,498496,215932,82743,117780,42973,39068
0500000US06017,82213,33536,14697,20489,6803,6688
0500000US06019,359429,101835,71587,82986,56041,46980
0500000US06023,58865,19396,15350,13296,5845,4978
0500000US06025,56238,12411,15386,14011,8332,6098
0500000US06029,320071,82825,61515,65819,62596,47316
0500000US06031,50815,12738,11292,9171,9657,7957
0500000US06033,23806,7166,6967,5301,2704,1668
0500000US06037,4506700,1585574,868025,1121431,348636,583034
0500000US06039,52981,17161,8720,9801,10295,7004
0500000US06041,128037,63909,24057,29229,6073,4769
0500000US06045,36728,9927,8755,8424,6094,3528
0500000US06047,96057,24379,15747,16937,20812,18182
0500000US06053,181521,49749,36271,36191,36682,22628
0500000US06055,67279,22079,15377,13815,8546,7462
0500000US06057,42329,16285,7531,10837,4857,2819
0500000US06059,1478669,584889,257810,385695,100813,149462
0500000US06061,157891,64213,28353,44297,10098,10930
0500000US06065,882903,252264,183918,234235,96600,115886
0500000US06067,615013,227458,121996,159698,49199,56662
0500000US06071,799895,223685,150171,201833,84397,139809
0500000US06073,1412983,566857,281528,335464,111977,117157
0500000US06075,457285,242634,78943,98537,16845,20326
0500000US06077,269943,77626,47687,68373,35230,41027
0500000US06079,127708,46196,25263,33125,12590,10534
0500000US06081,379197,165184,76873,86241,24265,26634
0500000US06083,191826,66178,40459,41822,25078,18289
0500000US06085,883722,436933,137204,180502,54187,74896
0500000US06087,134312,57115,24745,29779,15551,7122
0500000US06089,69984,22709,16216,17630,7591,5838
0500000US06095,180896,58445,34685,48749,19288,19729
0500000US06097,233307,77970,49655,59194,23651,22837
0500000US06099,202047,50900,40956,46610,25889,37692
0500000US06101,37387,11595,6280,9227,5528,4757
0500000US06107,170308,40095,35239,34229,37180,23565
0500000US06111,392045,145641,72511,95997,39640,38256
0500000US06113,91843,41417,15524,18697,7567,8638
0500000US06115,24826,5859,5867,6416,4138,2546
0500000US08001,221721,63521,41171,55545,27553,33931
0500000US08005,299664,122679,49749,78893,24983,23360
0500000US08013,164525,89352,23967,31015,10056,10135
0500000US08031,334303,145320,59702,78642,23453,27186
0500000US08035,152564,79496,18138,39949,7393,7588
0500000US08041,282900,113857,52106,70308,24624,22005
0500000US08059,287067,128041,47184,68615,22486,20741
0500000US08069,161730,66891,27424,38389,14772,14254
0500000US08077,68951,18917,13119,17621,8921,10373
0500000US08101,65715,18556,15657,17182,7080,7240
0500000US08123,125741,40308,21541,31664,16796,15432
0500000US09001,456529,203218,77409,111197,31270,33435
0500000US09003,433531,185711,75175,105702,25287,41656
0500000US09005,100105,38441,18528,22090,11115,9931
0500000US09007,88525,43371,13465,18331,6602,6756
0500000US09009,410919,160121,75621,97196,27615,50366
0500000US09011,133662,48774,32978,30076,9681,12153
0500000US09013,79031,33483,13564,17652,6129,8203
0500000US09015,57860,16792,11868,15612,5534,8054
0500000US10001,72128,23334,14512,16729,7055,10498
0500000US10003,263777,107234,46288,67881,18961,23413
0500000US10005,91209,26048,19604,23244,10049,12264
0500000US11001,326957,195837,50307,58129,10261,12423
0500000US12001,113902,51964,20081,28313,5422,8122
0500000US12005,77011,25661,16312,21529,6262,7247
