GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US01003,96012,36374,15395,23642,8812,11789
0500000US01015,45641,12876,8299,10785,3939,9742
0500000US01043,36439,10818,5815,7637,5457,6712
0500000US01049,32544,8183,5630,5306,3529,9896
0500000US01051,35358,13619,6648,6721,2634,5736
0500000US01055,43451,12799,8615,8934,4483,8620
0500000US01069,43516,13963,9213,10195,3719,6426
0500000US01073,305647,126043,52489,63625,18247,45243
0500000US01077,40401,11221,7156,9942,5074,7008
0500000US01081,81858,38197,15045,13255,6402,8959
0500000US01083,39446,14147,5197,7553,5038,7511
0500000US01089,187518,88621,32061,33740,11775,21321
0500000US01095,41717,12479,6417,8137,3952,10732
0500000US01097,177379,61621,30671,36692,20066,28329
0500000US01101,104491,40262,16646,24539,5392,17652
0500000US01103,53551,16954,7965,10382,5565,12685
0500000US01115,40707,14003,4785,8517,4970,8432
0500000US01117,110000,54674,14497,23094,7136,10599
0500000US01121,31643,7429,5186,4878,4436,9714
0500000US01125,96130,34978,12673,21250,9951,17278
0500000US01127,25033,7269,4528,5551,3226,4459
0500000US02020,143024,58578,24741,31015,10847,17843
0500000US02090,43756,17960,7313,8781,4928,4774
0500000US02170,45652,16143,8453,7701,8210,5145
0500000US04001,18767,5587,4317,3758,2920,2185
0500000US04003,44200,15795,10094,9325,4665,4321
0500000US04005,68508,30701,15232,12188,4126,6261
0500000US04013,2189173,870120,375008,506229,196273,241543
0500000US04015,76213,18847,19063,18954,7888,11461
0500000US04017,34754,10458,7700,8554,4137,3905
0500000US04019,464801,176985,99343,104492,38842,45139
0500000US04021,178921,54576,35617,41491,22207,25030
0500000US04025,93799,32935,22355,18246,11484,8779
0500000US04027,74056,19714,12877,17257,11483,12725
0500000US05007,135458,53754,18072,29920,12663,21049
0500000US05031,49870,17142,9188,10932,4144,8464
0500000US05045,61283,24175,10037,12276,5765,9030
0500000US05051,43181,16013,10012,11234,2750,3172
0500000US05069,26843,7873,6627,4703,1569,6071
0500000US05085,34654,12082,4844,8077,4666,4985
0500000US05119,182913,70082,31313,43499,12268,25751
0500000US05125,58546,21146,7623,13889,7047,8841
0500000US05131,56868,18288,9615,11441,5082,12442
0500000US05143,113668,44489,22175,20283,8906,17815
0500000US05145,N,N,N,N,N,N
0500000US06001,885937,470967,129359,150660,53631,81320
0500000US06007,95672,34598,20638,19503,7973,12960
0500000US06013,576786,257517,108990,111585,42397,56297
0500000US06017,90690,37394,16817,18381,7928,10170
0500000US06019,410423,130039,84364,78336,58229,59455
0500000US06023,63682,23840,12439,14386,6951,6066
0500000US06025,60600,15722,16579,12175,9428,6696
0500000US06029,352979,101501,60783,67768,70572,52355
0500000US06031,53749,14289,10872,9541,11948,7099
0500000US06033,24220,7496,5260,4989,3621,2854
