GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US01003,102800,67.3,6.2,6,11.4,9
0500000US01015,49415,70.4,2.1,5.2,16.2,6.1
0500000US01043,35876,70.5,2.7,6.3,9.1,11.4
0500000US01049,29616,72.5,1.7,3.5,11.2,11.2
0500000US01051,34265,68.3,2,6.9,18.4,4.3
0500000US01055,44172,74.4,3.1,4.4,13.3,4.8
0500000US01069,44812,70.8,2.6,6.5,12.9,7.1
0500000US01073,298525,71.5,3,8.3,12.4,4.8
0500000US01077,42960,69.9,3.5,4.3,16.5,5.7
0500000US01081,73544,68.1,3.8,6,17.6,4.5
0500000US01083,41425,70.6,2.5,5.3,16.1,5.5
0500000US01089,176976,67.1,2.7,8,17.7,4.5
0500000US01095,40540,74.1,3.8,3.8,11.8,6.6
0500000US01097,171487,72.8,2.8,6.8,12.6,5
0500000US01101,97362,61.2,2.9,7.6,22.5,5.8
0500000US01103,53742,75.7,3.8,4.2,11,5.2
0500000US01115,N,N,N,N,N,N
0500000US01117,107307,69.9,4.8,8.1,12.1,5.2
0500000US01121,31923,71,4.2,5.2,14.7,5
0500000US01125,98877,65.3,3.2,6.8,18.8,5.8
0500000US01127,25291,74.5,0.6,5.2,14.7,5
0500000US02020,144628,58.2,4.3,10.5,21.4,5.6
0500000US02090,45983,51.3,4.8,9.3,27.8,6.7
0500000US02170,42696,63.6,2.6,7.2,18.8,7.7
0500000US04001,17763,43.6,1.2,3,47.6,4.6
0500000US04003,43375,57,2.3,6.2,28.6,6
0500000US04005,67654,62.8,2.7,8.4,20.4,5.7
0500000US04013,2139992,72.3,4.4,6.4,11,6
0500000US04015,72632,69.2,2.7,7.1,13.8,7.2
0500000US04017,32196,49,4.5,6.2,31.2,9.2
0500000US04019,454426,66,3.7,7.4,16.1,6.8
0500000US04021,162888,69.8,3.2,6.2,15.6,5.1
0500000US04025,87644,61.7,6.3,6.9,13.7,11.4
0500000US04027,76472,64.8,1.3,8.7,21.5,3.8
0500000US05007,136545,75.5,2.6,6.6,8.2,7.1
0500000US05031,49628,64.9,2.8,11.1,13.6,7.6
0500000US05045,57984,66.8,3.5,12,11.8,5.8
0500000US05051,41066,67.3,4.4,9.6,11.2,7.4
0500000US05069,23835,64.8,1.8,4.7,22.3,6.4
0500000US05085,32107,70.3,3.9,4.5,14.9,6.4
0500000US05119,188340,64.7,3.8,8.5,18.1,5
0500000US05125,59219,63.6,3.3,9.1,17.4,6.6
0500000US05131,59618,72.9,3.8,7.1,9.5,6.7
0500000US05143,115315,64.8,3.6,8.4,16.1,7.2
0500000US05145,31608,68.7,8.1,5.6,11.2,6.4
0500000US06001,882648,69.1,2.7,8.4,12.2,7.6
0500000US06007,101385,63.7,2.4,9.9,14.8,9.2
0500000US06013,577749,66,3.5,8.2,13.7,8.7
0500000US06017,88702,58.5,5.5,7.2,17.4,11.4
0500000US06019,414515,66.8,2.8,6.1,18,6.3
0500000US06023,64215,57.5,5.2,5.7,19.4,12.1
